Text (Q/A),state,predicted class,true class,correct,Top three features/words and their weights,note
Question: If I have a Power of Attorney (POA) can I sign the ballot envelope for the voter? Answer: No. The voter must sign or make a mark. You can serve as the witness to the voters signature or mark.,AK,primary,primary,True,voter (0.0685); sign (-0.0292); Attorney (0.0149),
"Question: What is Ranked Choice Voting? Answer: All general elections in the state of Alaska are conducted by Ranked Choice Voting (RCV). RCV allows you to rank candidates in order of preference. Only the top four candidates who received the greatest number of votes for any office in the primary will appear on the general election ballot. There will still be a space for write-in candidates. If no candidate receives a majority of 1st choice votes in the 1st round of counting, more rounds of counting continue until a candidate reaches a majority. For more information on RCV and frequently asked questions, click here.",AK,primary,secondary,False,Voting (-0.0537); Ranked (-0.0507); Choice (-0.0471),
"Question: What happens if I do not want to declare a political party preference at the Primary Election? Answer: If you choose not to declare a political preference at the primary election, you will not be eligible to vote in any political party’s primary election. You are, however, still eligible to vote on any proposed constitutional amendments that are up for a vote.",AL,primary,primary,True,political (0.0643); primary (-0.0579); party (0.0328),
"Question: Where can I find information about candidates and ballot measures? Answer: Information on local, state and federal candidates and ballot measures may be available here.",AL,secondary,secondary,True,measures (0.1950); available (0.0978); ballot (0.0748),
Question: How Do I Register to Vote? Answer: You must fill out a paper Voter Registration Application.,AR,primary,primary,True,Voter (0.0603); Question (0.0271); Answer (0.0209),
"Question: When are official election results released? Answer: Official results are never available on Election Day. Election officials are working around the clock to count an unprecedented number of ballots, and it’s essential that they take the time to make sure every vote is counted. Absentee ballots begin being counted on Election Day. Provisional ballots are counted between 2-15 days after the election. For Presidential elections, local results will be certified no later than 8 days after Election Day.",AR,secondary,secondary,True,days (0.0940); Provisional (0.0633); available (0.0585),
"Question: Where is my polling location? Answer: If you are a Maricopa County voter, you can process your request here . If you have any questions please call 602-506-1511 . If you are a Pima County voter, you can process your request here . If you have any questions please call 520-724-4330 . To contact your local Election Official please visit https://azsos.gov/county-election-info",AZ,primary,primary,True,voter (0.1190); process (-0.0720); local (-0.0690),
"Question: What is the voter registration deadline for the upcoming election, and how can I register online? Answer: The registration deadline is 29 days before an election. You can register to vote online ! You will need an Arizona Driver License and/or an Arizona non-operating ID card to register online. If you do not have either of those forms of ID, you can register by mail or in person at your County Recorder's Office. You may sign up for the Active Early Voting List to receive your early ballot through the mail at the same time you register to vote!",AZ,secondary,secondary,True,ID (0.0901); deadline (0.0741); days (0.0613),
"Question: Can I receive a ballot to vote by mail? Answer: Every voter in Colorado receives a mail ballot. The ballot will be sent to the mailing address you provided for your voter registration file. To check the address on file, or to make any changes to your voter registration visit www.GoVoteColorado.gov.",CO,primary,primary,True,voter (0.0695); mail (-0.0444); file (0.0328),
"Question: How can military and overseas voters cast their ballots? Answer: You are a Military or Overseas voter if you are in uniformed services, living overseas OR a spouse or dependent of a uniformed services voter. To get registered and vote, you can utilize Overseas Vote Foundation.If you have additional questions about elections and voting overseas you can use our state specific elections official directory or contact the Overseas Vote Foundation.",CO,secondary,secondary,True,Overseas (0.0960); overseas (0.0801); Foundation (0.0640),
"Question: Is a driver's license or photo ID required to vote in Connecticut? Answer: No. When you arrive at the polling place the poll worker will request that you present ID but if you do not have any, then in most cases, you may sign an affidavit in lieu of presenting ID. There are several options for identification, and they do not need to be a driver's license or have a photo.",CT,primary,primary,True,ID (-0.1485); arrive (0.0656); photo (0.0643),
"Question: What are Drop Boxes? Answer: You may return your absentee ballot application by using the safe and secure absentee ballot drop box that is stationed outside your Town Hall, or mail directly to your Town Clerk using the postage-paid envelope included in the mailing or your own envelope with postage. If you have any questions, you can call your Town Clerk for more information.",CT,secondary,secondary,True,Boxes (0.1099); Drop (0.1017); drop (0.0687),
"Question: Does the Department of Elections compare the results contained on the Election USB to the cards? Answer: Yes, the Department performs post-election audits and certification processes.",DL,primary,primary,True,Yes (0.0484); Answer (0.0209); Department (-0.0156),
"Question: What is the Polling Place Locator? Answer: You can find your polling place by utilizing your state resource. For School Board elections, you can vote at any open polling place within the school district. Check your local school district website for a list of open polling locations. The Department of Elections sends you a polling place card when you register; after a change in name, address, or party affiliation; or when your polling place is changed. If you need information regarding your election district and the place where you vote, visit https://ivote.de.gov/ If you have further questions on your polling place location, please contact your county clerk.",DL,secondary,secondary,True,polling (0.1065); resource (0.0741); utilizing (0.0565),
"Question: If the party’s officers, executive committee members, or its constitution or bylaws change, does the party have to notify the Division of Elections? Answer: Yes. If changes occur that reflect a change in the party’s original filing certificate, the party must notify the Division of Elections within 5 days of the change. (Section 103.095(4), Florida Statutes)",FL,primary,primary,True,Division (0.0206); Yes (0.0198); change (0.0182),
"Question: HOW DO I RETURN MY ABSENTEE BALLOT IN PERSON? Answer: You can drop off your signed, voted ballot at your local Supervisor of Elections’ office during business hours. You can also bring your voted ballot to any early voting location during early voting hours. Another option is to exchange the voted ballot for an in-person ballot at any early voting location or at your assigned polling location on Election Day.",FL,secondary,secondary,True,hours (0.1246); drop (0.0696); ballot (-0.0518),
"Question: How to apply for Voter Registration as a Voter Requiring Assistance? Answer: Individuals helping must refrain from explicit or implicit discriminatory or coercive voter registration practices. Both are prohibited. Individuals or organizations that are assisting with voter registration may not duplicate, copy, or otherwise make use of any information provided on the voter registration application. It is unlawful for any person to use, print, publish, or distribute information acquired directly or indirectly from voter registration applications.",HI,primary,primary,True,voter (0.0649); Voter (0.0294); use (-0.0099),
Question: How do Verify Voter Registration? Answer: To verify your voter registration status click here.,HI,secondary,secondary,True,verify (0.2261); Verify (0.1922); status (0.1466),
"Question: What are Iowaâs eligibility requirements for voter registration and voting purposes? Answer: To register and vote in Iowa, you must be. A U.S. citizen, An Iowa resident, and At least 17 years old (must be 18 years old by election day, or for Primary Elections be 18 by the General or City Election to vote). You cannot: Be a convicted felon (unless your voting rights have been restored), Be judged mentally incompetent to vote by a court, and/or Claim the right to vote in any other place.",IA,primary,primary,True,years (-0.0792); old (-0.0571); rights (-0.0526),
"Question: What forms of identification are accepted for voting? Answer: Voters are required to show a drivers license, non-drivers ID, passport, military ID, veterans ID, or Voter ID Card at the polls before they vote. Voters without the necessary ID will be offered a provisional ballot and can provide ID up until the time of the county canvass of votes (Monday after election day for Primary and General Elections).What is a valid form of ID to show at the polls?Iowa Driver's LicenseIowa Non-Operator's IDMilitary IDU.S. PassportTribal IDVeteran's IDVoter ID CardWhat about voters who dont have an ID?Any registered voter who does not have a valid driver's license or non-operator's ID issued by the Iowa Department of Transportation will be issued a Voter ID Card for free, automatically, in the mail. This also applies to anyone who registers to vote in the future. Upon receipt of the Voter ID Card, it should be immediately signed. Obtaining the Voter ID Card does not require any further documentation or action by the voter; voters simply need to be registered to vote in the county where they liveVoters can call or text 844-338-8743 at any time to reach VoteRiders Voter ID Helpline",IA,secondary,secondary,True,ID (0.3129); Voter (-0.0697); provisional (0.0466),
"Question: When does early voting start? Answer: Many Idaho counties offer early voting, typically beginning two weeks before an upcoming election. Check with your county elections office.",ID,primary,primary,True,voting (-0.0775); early (-0.0742); upcoming (-0.0474),
Question: When would I need to vote using a provisional ballot? Answer: There is no provisional voting.,ID,secondary,secondary,True,provisional (0.3959); using (0.0729); voting (0.0501),
